"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","23/1419","68/9399",0.338235294117647,2.24036189528666,4.32858798874281,9.16235117185335e-05,0.00199853784936051,0.00161546718030046,"125/54575/5959/54600/54579/54657/54577/54576/54578/54659/54658/9227/124/29785/127/54884/130/1558/1576/1555/126/10170/54905",23
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","15/1419","37/9399",0.405405405405405,2.68527512713559,4.33106625191688,0.000156240190224052,0.00315551704050672,0.00255068184845665,"6652/54575/54600/54579/54657/54577/54576/54578/54659/7360/54658/57016/7358/9365/27294",15
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","17/1419","45/9399",0.377777777777778,2.50227859995302,4.25956772045408,0.000162748729882868,0.00315551704050672,0.00255068184845665,"9429/10058/10351/26154/8647/23461/10349/225/23460/10350/6833/64240/1244/1672/154664/340273/5243",17
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","24/1419","75/9399",0.32,2.11957716701903,4.10479057461713,0.00017379586474802,0.00319235562089785,0.00258045937686811,"5054/596/1017/1019/5366/1029/10848/1111/891/983/595/598/64065/6241/51512/9133/898/637/3732/5268/11200/9134/7057/3479",24
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","27/1419","89/9399",0.303370786516854,2.0094306007554,4.03463360413528,0.000191757767663508,0.00321252350096025,0.00259676156916708,"1277/1278/6696/1282/22801/375790/7058/1311/948/1293/3695/8516/1101/3381/3696/1284/1297/3161/7057/1288/2335/3679/1287/1758/3678/5649/1280",27
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","80/1419","362/9399",0.220994475138122,1.46379638606286,3.79469588884171,0.000193303706361505,0.00321252350096025,0.00259676156916708,"1277/23035/1278/2069/6696/5523/7422/5228/1282/22801/5008/596/1017/1019/7058/4609/2788/1311/1978/2149/374/5159/595/3326/4233/1946/598/1441/2690/1440/1944/1293/9965/1902/3695/8516/898/1101/3381/3696/80310/2254/1969/285/1284/1388/5521/2263/1297/3320/3569/9134/5105/10110/3815/9863/54541/7097/7057/1945/1288/2322/2792/2335/3679/3479/5522/1287/2668/5617/356/26281/2066/5563/1129/8115/2786/3678/5649/1280",80
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","18/1419","50/9399",0.36,2.38452431289641,4.13914348110173,0.000214950135505195,0.00336782567783953,0.0027222961292746,"7058/1311/948/4233/3553/1440/100528032/22914/3383/6401/3569/3820/7097/7057/3043/959/3039/3040",18
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","29/1419","99/9399",0.292929292929293,1.94026950263737,3.96584691024562,0.000221948397106903,0.00336782567783953,0.0027222961292746,"22801/183/6445/776/4842/6641/7171/3695/1756/7137/8516/3696/783/3569/1837/4634/6547/6546/6543/59283/3679/6442/3479/8082/7168/1674/5563/137868/3678",29
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","26/1419","86/9399",0.302325581395349,2.00250749791042,3.93821594308464,0.000266082407746519,0.00386928167931397,0.00312763531912575,"22801/29119/6445/776/4842/6641/3695/83439/1756/8516/3696/51176/783/1837/6547/1496/6546/6543/2697/59283/3679/6442/8082/1674/137868/3678",26
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","29/1419","101/9399",0.287128712871287,1.90184832436732,3.84243819846359,0.000323160808228428,0.00451132488286885,0.00364661459390394,"1277/1278/7422/1282/5054/596/1019/183/1281/5333/3552/84812/595/3553/4313/51196/50507/185/5602/3383/1284/6401/3569/5579/5336/1288/113026/2335/1287",29
